dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,550.00,405345.00,28,Normandie,J,Information et communication
Aide CPSTI,487.00,464822.00,28,Normandie,K,Activités financières et d'assurance
Aide CPSTI,1555.00,1511290.00,28,Normandie,L,Activités immobilières
Aide CPSTI,1472.00,1099214.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1616.00,1057457.00,28,Normandie,N,Activités de services administratifs et de soutien
Aide CPSTI,493.00,423201.00,28,Normandie,P,Enseignement
Aide CPSTI,497.00,371029.00,28,Normandie,Q,Santé humaine et action sociale
Aide CPSTI,797.00,438913.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,6400.00,4698189.00,28,Normandie,S,Autres activités de services
Aide CPSTI,2234.00,2396748.00,28,Normandie,Z,Non connu
Aide CPSTI,777.00,712724.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,23.00,27204.00,75,Nouvelle-Aquitaine,B,Industries extractives
Aide CPSTI,11309.00,9051822.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Aide CPSTI,119.00,101459.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,319.00,221866.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,29821.00,28139441.00,75,Nouvelle-Aquitaine,F,Construction
Aide CPSTI,27444.00,22353948.00,75,Nouvelle-Aquitaine,G,Commerce
Aide CPSTI,3356.00,3283635.00,75,Nouvelle-Aquitaine,H,Transports et entreposage
Aide CPSTI,11662.00,9609568.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Aide CPSTI,1264.00,875704.00,75,Nouvelle-Aquitaine,J,Information et communication
Aide CPSTI,1038.00,996412.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Aide CPSTI,4507.00,4245710.00,75,Nouvelle-Aquitaine,L,Activités immobilières
Aide CPSTI,3291.00,2366141.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,4872.00,3097593.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
Aide CPSTI,952.00,797703.00,75,Nouvelle-Aquitaine,P,Enseignement
Aide CPSTI,1359.00,884652.00,75,Nouvelle-Aquitaine,Q,Santé humaine et action sociale
Aide CPSTI,1652.00,969129.00,75,Nouvelle-Aquitaine,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,14051.00,9976119.00,75,Nouvelle-Aquitaine,S,Autres activités de services
