dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,17.00,1230779.00,03,Guyane,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,52.00,2558762.00,03,Guyane,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,3.00,240122.00,03,Guyane,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,1206.00,80237815.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,4.00,654158.00,32,Hauts-de-France,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,2971.00,1412954060.00,32,Hauts-de-France,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,101.00,44244848.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,5716.00,930608483.00,32,Hauts-de-France,F,Construction,2021-07-23
Prêts garantis par l'Etat,9121.00,2656762064.00,32,Hauts-de-France,G,Commerce,2021-07-23
Prêts garantis par l'Etat,1367.00,318270155.00,32,Hauts-de-France,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,5874.00,439084001.00,32,Hauts-de-France,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,742.00,138584716.00,32,Hauts-de-France,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,634.00,820910920.00,32,Hauts-de-France,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,799.00,67548751.00,32,Hauts-de-France,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,3367.00,472189741.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,1300.00,343575029.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,868.00,62081776.00,32,Hauts-de-France,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,3440.00,217508862.00,32,Hauts-de-France,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,910.00,91219911.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,2577.00,80155275.00,32,Hauts-de-France,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,52.00,15301877.00,32,Hauts-de-France,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,244.00,17558359.00,11,Île-de-France,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,6339.00,7781611427.00,11,Île-de-France,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,24.00,60612000.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-07-23
Prêts garantis par l'Etat,214.00,262600005.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,15317.00,2938279085.00,11,Île-de-France,F,Construction,2021-07-23
Prêts garantis par l'Etat,27486.00,10263349465.00,11,Île-de-France,G,Commerce,2021-07-23
Prêts garantis par l'Etat,8646.00,4941011037.00,11,Île-de-France,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,19804.00,4039099617.00,11,Île-de-France,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,8506.00,3015837716.00,11,Île-de-France,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,2857.00,5824753067.00,11,Île-de-France,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,4404.00,667866427.00,11,Île-de-France,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,22580.00,6973294418.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,6358.00,2186470938.00,11,Île-de-France,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,3.00,1614000.00,11,Île-de-France,O,Administration publique,2021-07-23
Prêts garantis par l'Etat,2749.00,504993572.00,11,Île-de-France,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,9641.00,947248876.00,11,Île-de-France,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,3115.00,971072718.00,11,Île-de-France,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,7020.00,393621630.00,11,Île-de-France,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,89.00,15411632.00,11,Île-de-France,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,178.00,24356612.00,04,La Réunion,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,6.00,2930000.00,04,La Réunion,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,655.00,96757005.00,04,La Réunion,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,33.00,6726000.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,1076.00,111169262.00,04,La Réunion,F,Construction,2021-07-23
Prêts garantis par l'Etat,1923.00,387786917.00,04,La Réunion,G,Commerce,2021-07-23
Prêts garantis par l'Etat,303.00,134783106.00,04,La Réunion,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,714.00,60990905.00,04,La Réunion,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,120.00,16461728.00,04,La Réunion,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,97.00,37829905.00,04,La Réunion,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,104.00,9889473.00,04,La Réunion,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,532.00,122232011.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,300.00,41213053.00,04,La Réunion,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,181.00,12404426.00,04,La Réunion,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,655.00,40815436.00,04,La Réunion,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,164.00,13213166.00,04,La Réunion,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,410.00,12988568.00,04,La Réunion,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,7.00,1148343.00,04,La Réunion,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,118.00,14045698.00,02,Martinique,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,340.00,51533467.00,02,Martinique,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,12.00,5277000.00,02,Martinique,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,382.00,46115098.00,02,Martinique,F,Construction,2021-07-23
Prêts garantis par l'Etat,944.00,310135804.00,02,Martinique,G,Commerce,2021-07-23
Prêts garantis par l'Etat,203.00,38135494.00,02,Martinique,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,361.00,38403306.00,02,Martinique,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,72.00,7934138.00,02,Martinique,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,76.00,164166727.00,02,Martinique,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,44.00,4692066.00,02,Martinique,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,304.00,37618439.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,245.00,33605640.00,02,Martinique,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,69.00,2892914.00,02,Martinique,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,300.00,21623968.00,02,Martinique,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,73.00,7152812.00,02,Martinique,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,186.00,7582797.00,02,Martinique,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,9.00,2798959.00,02,Martinique,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,8.00,671000.00,06,Mayotte,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,45.00,10102308.00,06,Mayotte,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,5.00,824714.00,06,Mayotte,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,100.00,12010903.00,06,Mayotte,F,Construction,2021-07-23
