dispositif,nombre_pge,montant_total,reg,libelle_region,dep,libelle_departement,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,40.00,1388177.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,107.00,2512678.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,12.00,435947.00,84,Auvergne-Rhône-Alpes,43,Haute-Loire,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,101.00,5740165.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,7.00,2342000.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,B,Industries extractives,2021-02-19
Prêts garantis par l'Etat,755.00,328358088.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,3.00,175000.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-02-19
Prêts garantis par l'Etat,16.00,7532998.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,1257.00,191793707.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,F,Construction,2021-02-19
Prêts garantis par l'Etat,2082.00,361687987.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,G,Commerce,2021-02-19
Prêts garantis par l'Etat,221.00,59885881.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,1809.00,209512681.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,129.00,15477293.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,145.00,141628609.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,318.00,27127425.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,637.00,124259352.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,403.00,37222358.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,185.00,8905417.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,534.00,30721458.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,218.00,20929082.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,516.00,16919940.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,5.00,232000.00,84,Auvergne-Rhône-Alpes,74,Haute-Savoie,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,201.00,9303970.00,84,Auvergne-Rhône-Alpes,38,Isère,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,1185.00,441394723.00,84,Auvergne-Rhône-Alpes,38,Isère,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,26.00,11966250.00,84,Auvergne-Rhône-Alpes,38,Isère,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,2260.00,265658404.00,84,Auvergne-Rhône-Alpes,38,Isère,F,Construction,2021-02-19
Prêts garantis par l'Etat,2855.00,522669202.00,84,Auvergne-Rhône-Alpes,38,Isère,G,Commerce,2021-02-19
Prêts garantis par l'Etat,399.00,73202812.00,84,Auvergne-Rhône-Alpes,38,Isère,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,1773.00,118352626.00,84,Auvergne-Rhône-Alpes,38,Isère,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,259.00,68132666.00,84,Auvergne-Rhône-Alpes,38,Isère,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,197.00,150934869.00,84,Auvergne-Rhône-Alpes,38,Isère,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,270.00,17063531.00,84,Auvergne-Rhône-Alpes,38,Isère,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,1154.00,214566158.00,84,Auvergne-Rhône-Alpes,38,Isère,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,524.00,83866342.00,84,Auvergne-Rhône-Alpes,38,Isère,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,272.00,17375085.00,84,Auvergne-Rhône-Alpes,38,Isère,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,873.00,50893296.00,84,Auvergne-Rhône-Alpes,38,Isère,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,273.00,23304238.00,84,Auvergne-Rhône-Alpes,38,Isère,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,789.00,26539667.00,84,Auvergne-Rhône-Alpes,38,Isère,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,9.00,1789393.00,84,Auvergne-Rhône-Alpes,38,Isère,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,142.00,9114741.00,84,Auvergne-Rhône-Alpes,42,Loire,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,957.00,349874756.00,84,Auvergne-Rhône-Alpes,42,Loire,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,18.00,4742000.00,84,Auvergne-Rhône-Alpes,42,Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,1146.00,117393174.00,84,Auvergne-Rhône-Alpes,42,Loire,F,Construction,2021-02-19
Prêts garantis par l'Etat,1902.00,339769070.00,84,Auvergne-Rhône-Alpes,42,Loire,G,Commerce,2021-02-19
Prêts garantis par l'Etat,191.00,25350252.00,84,Auvergne-Rhône-Alpes,42,Loire,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,922.00,54834573.00,84,Auvergne-Rhône-Alpes,42,Loire,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,101.00,17563126.00,84,Auvergne-Rhône-Alpes,42,Loire,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,128.00,47607607.00,84,Auvergne-Rhône-Alpes,42,Loire,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,127.00,9766613.00,84,Auvergne-Rhône-Alpes,42,Loire,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,550.00,64540356.00,84,Auvergne-Rhône-Alpes,42,Loire,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,256.00,29289817.00,84,Auvergne-Rhône-Alpes,42,Loire,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,149.00,7024140.00,84,Auvergne-Rhône-Alpes,42,Loire,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,458.00,29693365.00,84,Auvergne-Rhône-Alpes,42,Loire,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,157.00,9233442.00,84,Auvergne-Rhône-Alpes,42,Loire,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,438.00,11754709.00,84,Auvergne-Rhône-Alpes,42,Loire,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,9.00,621000.00,84,Auvergne-Rhône-Alpes,42,Loire,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,116.00,6369312.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,508.00,122386077.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,11.00,1608000.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,856.00,82486514.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,F,Construction,2021-02-19
Prêts garantis par l'Etat,1302.00,328729005.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,G,Commerce,2021-02-19
Prêts garantis par l'Etat,142.00,14462997.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,921.00,80462777.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,77.00,34344937.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,88.00,50203631.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,95.00,5438972.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,415.00,53494824.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,161.00,24656000.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,89.00,10202597.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,366.00,19078320.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,123.00,21115767.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,332.00,8931480.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,10.00,1992000.00,84,Auvergne-Rhône-Alpes,63,Puy-de-Dôme,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,333.00,19540209.00,84,Auvergne-Rhône-Alpes,69,Rhône,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,3.00,1700000.00,84,Auvergne-Rhône-Alpes,69,Rhône,B,Industries extractives,2021-02-19
Prêts garantis par l'Etat,1686.00,603588900.00,84,Auvergne-Rhône-Alpes,69,Rhône,C,Industrie manufacturière,2021-02-19
Prêts garantis par l'Etat,4.00,562000.00,84,Auvergne-Rhône-Alpes,69,Rhône,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2021-02-19
Prêts garantis par l'Etat,49.00,18321266.00,84,Auvergne-Rhône-Alpes,69,Rhône,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-02-19
Prêts garantis par l'Etat,2563.00,389570676.00,84,Auvergne-Rhône-Alpes,69,Rhône,F,Construction,2021-02-19
Prêts garantis par l'Etat,4637.00,1107153214.00,84,Auvergne-Rhône-Alpes,69,Rhône,G,Commerce,2021-02-19
Prêts garantis par l'Etat,758.00,140452425.00,84,Auvergne-Rhône-Alpes,69,Rhône,H,Transports et entreposage,2021-02-19
Prêts garantis par l'Etat,2750.00,311869442.00,84,Auvergne-Rhône-Alpes,69,Rhône,I,Hébergement et restauration,2021-02-19
Prêts garantis par l'Etat,784.00,231754530.00,84,Auvergne-Rhône-Alpes,69,Rhône,J,Information et communication,2021-02-19
Prêts garantis par l'Etat,514.00,494506814.00,84,Auvergne-Rhône-Alpes,69,Rhône,K,Activités financières et d'assurance,2021-02-19
Prêts garantis par l'Etat,608.00,67319691.00,84,Auvergne-Rhône-Alpes,69,Rhône,L,Activités immobilières,2021-02-19
Prêts garantis par l'Etat,3103.00,917045760.00,84,Auvergne-Rhône-Alpes,69,Rhône,M,"Activités spécialisées, scientifiques et techniques",2021-02-19
Prêts garantis par l'Etat,932.00,164558869.00,84,Auvergne-Rhône-Alpes,69,Rhône,N,Activités de services administratifs et de soutien,2021-02-19
Prêts garantis par l'Etat,503.00,45061501.00,84,Auvergne-Rhône-Alpes,69,Rhône,P,Enseignement,2021-02-19
Prêts garantis par l'Etat,1535.00,113088940.00,84,Auvergne-Rhône-Alpes,69,Rhône,Q,Santé humaine et action sociale,2021-02-19
Prêts garantis par l'Etat,412.00,216248858.00,84,Auvergne-Rhône-Alpes,69,Rhône,R,"Arts, spectacles et activités récréatives",2021-02-19
Prêts garantis par l'Etat,1197.00,46288759.00,84,Auvergne-Rhône-Alpes,69,Rhône,S,Autres activités de services,2021-02-19
Prêts garantis par l'Etat,4.00,222000.00,84,Auvergne-Rhône-Alpes,69,Rhône,Z,Non connu,2021-02-19
Prêts garantis par l'Etat,161.00,10021065.00,84,Auvergne-Rhône-Alpes,73,Savoie,A,"Agriculture, sylviculture et pêche",2021-02-19
Prêts garantis par l'Etat,429.00,147503809.00,84,Auvergne-Rhône-Alpes,73,Savoie,C,Industrie manufacturière,2021-02-19
