dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,14263.00,13275185.00,32,Hauts-de-France,F,Construction
Aide CPSTI,16926.00,12925496.00,32,Hauts-de-France,G,Commerce
Aide CPSTI,2810.00,2705480.00,32,Hauts-de-France,H,Transports et entreposage
Aide CPSTI,6949.00,5936045.00,32,Hauts-de-France,I,Hébergement et restauration
Aide CPSTI,907.00,652586.00,32,Hauts-de-France,J,Information et communication
Aide CPSTI,803.00,811869.00,32,Hauts-de-France,K,Activités financières et d'assurance
Aide CPSTI,1946.00,1860846.00,32,Hauts-de-France,L,Activités immobilières
Aide CPSTI,2312.00,1643846.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,2651.00,1657675.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Aide CPSTI,764.00,665057.00,32,Hauts-de-France,P,Enseignement
Aide CPSTI,699.00,544899.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Aide CPSTI,1339.00,682096.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,9922.00,6388936.00,32,Hauts-de-France,S,Autres activités de services
Aide CPSTI,4017.00,4307971.00,32,Hauts-de-France,Z,Non connu
Aide CPSTI,49.00,46109.00,04,La Réunion,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,917.00,717317.00,04,La Réunion,C,Industrie manufacturière
Aide CPSTI,12.00,9505.00,04,La Réunion,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,18.00,19380.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,1506.00,1219243.00,04,La Réunion,F,Construction
Aide CPSTI,2548.00,1929090.00,04,La Réunion,G,Commerce
Aide CPSTI,543.00,504614.00,04,La Réunion,H,Transports et entreposage
Aide CPSTI,925.00,665915.00,04,La Réunion,I,Hébergement et restauration
Aide CPSTI,175.00,127053.00,04,La Réunion,J,Information et communication
Aide CPSTI,91.00,82841.00,04,La Réunion,K,Activités financières et d'assurance
Aide CPSTI,217.00,204599.00,04,La Réunion,L,Activités immobilières
Aide CPSTI,339.00,218216.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,449.00,321838.00,04,La Réunion,N,Activités de services administratifs et de soutien
Aide CPSTI,192.00,115959.00,04,La Réunion,P,Enseignement
Aide CPSTI,116.00,96341.00,04,La Réunion,Q,Santé humaine et action sociale
Aide CPSTI,151.00,96641.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,879.00,569826.00,04,La Réunion,S,Autres activités de services
Aide CPSTI,465.00,456132.00,04,La Réunion,Z,Non connu
Aide CPSTI,9.00,10051.00,02,Martinique,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,7.00,7073.00,02,Martinique,B,Industries extractives
Aide CPSTI,317.00,229531.00,02,Martinique,C,Industrie manufacturière
Aide CPSTI,5.00,5047.00,02,Martinique,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,4.00,4590.00,02,Martinique,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,516.00,391033.00,02,Martinique,F,Construction
Aide CPSTI,634.00,458192.00,02,Martinique,G,Commerce
Aide CPSTI,326.00,274922.00,02,Martinique,H,Transports et entreposage
Aide CPSTI,216.00,164136.00,02,Martinique,I,Hébergement et restauration
Aide CPSTI,64.00,45509.00,02,Martinique,J,Information et communication
Aide CPSTI,15.00,16656.00,02,Martinique,K,Activités financières et d'assurance
Aide CPSTI,67.00,57572.00,02,Martinique,L,Activités immobilières
Aide CPSTI,143.00,94286.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,224.00,155473.00,02,Martinique,N,Activités de services administratifs et de soutien
Aide CPSTI,32.00,15917.00,02,Martinique,P,Enseignement
Aide CPSTI,30.00,17866.00,02,Martinique,Q,Santé humaine et action sociale
Aide CPSTI,44.00,26573.00,02,Martinique,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,308.00,178922.00,02,Martinique,S,Autres activités de services
Aide CPSTI,215.00,222692.00,02,Martinique,Z,Non connu
Aide CPSTI,427.00,360382.00,28,Normandie,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,3.00,3750.00,28,Normandie,B,Industries extractives
Aide CPSTI,5448.00,4678910.00,28,Normandie,C,Industrie manufacturière
Aide CPSTI,18.00,15731.00,28,Normandie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,190.00,122706.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
