dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,12478.00,2580338975.00,11,Île-de-France,F,Construction,2020-09-04
Prêts garantis par l'Etat,23515.00,8548271725.00,11,Île-de-France,G,Commerce,2020-09-04
Prêts garantis par l'Etat,6174.00,4783597206.00,11,Île-de-France,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,16734.00,2581797243.00,11,Île-de-France,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,6878.00,2446923211.00,11,Île-de-France,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,2430.00,4679965360.00,11,Île-de-France,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,3708.00,625937190.00,11,Île-de-France,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,18447.00,5778442041.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,5148.00,1863180898.00,11,Île-de-France,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,2237.00,414280562.00,11,Île-de-France,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,8170.00,756303819.00,11,Île-de-France,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,2347.00,814061108.00,11,Île-de-France,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,5961.00,346544529.00,11,Île-de-France,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,535.00,105150355.00,11,Île-de-France,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,149.00,15034421.00,04,La Réunion,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,5.00,2900000.00,04,La Réunion,B,Industries extractives,2020-09-04
Prêts garantis par l'Etat,570.00,86849163.00,04,La Réunion,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,5.00,793343.00,04,La Réunion,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-04
Prêts garantis par l'Etat,30.00,6016000.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,932.00,106187853.00,04,La Réunion,F,Construction,2020-09-04
Prêts garantis par l'Etat,1699.00,351296767.00,04,La Réunion,G,Commerce,2020-09-04
Prêts garantis par l'Etat,241.00,126339256.00,04,La Réunion,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,607.00,51022592.00,04,La Réunion,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,94.00,14335938.00,04,La Réunion,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,87.00,37061815.00,04,La Réunion,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,90.00,8632273.00,04,La Réunion,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,446.00,103716784.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,246.00,34094981.00,04,La Réunion,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,139.00,10664812.00,04,La Réunion,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,507.00,34570758.00,04,La Réunion,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,115.00,9379295.00,04,La Réunion,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,340.00,11505743.00,04,La Réunion,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,5.00,357500.00,04,La Réunion,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,60.00,11034756.00,02,Martinique,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,276.00,45227319.00,02,Martinique,C,Industrie manufacturière,2020-09-04
