dispositif,volet,nombre_aides,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,10102,13781659.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,4625,5823048.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,5072,6348283.00,32,Hauts-de-France,P,Enseignement
Fonds de solidarité,VOLET1,12942,17790227.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,5000,6048342.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,21228,25465666.00,32,Hauts-de-France,S,Autres activités de services
Fonds de solidarité,VOLET1,1440,1930147.00,04,La Réunion,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,4,6000.00,04,La Réunion,B,Industries extractives
Fonds de solidarité,VOLET1,2148,2905326.00,04,La Réunion,C,Industrie manufacturière
Fonds de solidarité,VOLET1,6,9000.00,04,La Réunion,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,40,59673.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,4258,6216255.00,04,La Réunion,F,Construction
Fonds de solidarité,VOLET1,7100,9809392.00,04,La Réunion,G,Commerce
Fonds de solidarité,VOLET1,920,1296169.00,04,La Réunion,H,Transports et entreposage
Fonds de solidarité,VOLET1,3519,5004556.00,04,La Réunion,I,Hébergement et restauration
Fonds de solidarité,VOLET1,473,642389.00,04,La Réunion,J,Information et communication
Fonds de solidarité,VOLET1,211,305518.00,04,La Réunion,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,777,1095380.00,04,La Réunion,L,Activités immobilières
Fonds de solidarité,VOLET1,2248,3182325.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,1231,1707617.00,04,La Réunion,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,1833,2410297.00,04,La Réunion,P,Enseignement
Fonds de solidarité,VOLET1,2859,4057384.00,04,La Réunion,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,1048,1377701.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,3036,3923126.00,04,La Réunion,S,Autres activités de services
