dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,24210,11276,32725257.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,23315,4846,41458990.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,46276,13712,74895326.00,32,Hauts-de-France,S,Autres activités de services
Fonds de solidarité,VOLET1,1375,595,2405762.00,11,Île-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,31555,10317,53752723.00,11,Île-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET1,619,146,1557151.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1263,407,2270171.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,78430,30955,126779169.00,11,Île-de-France,F,Construction
Fonds de solidarité,VOLET1,176593,53930,376647757.00,11,Île-de-France,G,Commerce
Fonds de solidarité,VOLET1,342037,58707,660288362.00,11,Île-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET1,162233,34441,528573819.00,11,Île-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET1,64967,17962,124467731.00,11,Île-de-France,J,Information et communication
Fonds de solidarité,VOLET1,12788,3916,23048430.00,11,Île-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,32146,10434,64250919.00,11,Île-de-France,L,Activités immobilières
Fonds de solidarité,VOLET1,213339,64088,366162514.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,68770,16360,143823985.00,11,Île-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,13,5,16575.00,11,Île-de-France,O,Administration publique
Fonds de solidarité,VOLET1,61117,15665,91276754.00,11,Île-de-France,P,Enseignement
Fonds de solidarité,VOLET1,65637,28473,89065940.00,11,Île-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,128459,26573,230740726.00,11,Île-de-France,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,95482,27557,182186340.00,11,Île-de-France,S,Autres activités de services
Fonds de solidarité,VOLET1,5804,1725,7944092.00,04,La Réunion,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,4731,1618,6560370.00,04,La Réunion,C,Industrie manufacturière
Fonds de solidarité,VOLET1,10,4,14213.00,04,La Réunion,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,84,34,124273.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,7965,3200,11733135.00,04,La Réunion,F,Construction
Fonds de solidarité,VOLET1,15560,5051,22353082.00,04,La Réunion,G,Commerce
Fonds de solidarité,VOLET1,2364,765,3570109.00,04,La Réunion,H,Transports et entreposage
Fonds de solidarité,VOLET1,11242,2402,18177147.00,04,La Réunion,I,Hébergement et restauration
Fonds de solidarité,VOLET1,1304,380,1987034.00,04,La Réunion,J,Information et communication
Fonds de solidarité,VOLET1,459,159,678003.00,04,La Réunion,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,1908,612,2763967.00,04,La Réunion,L,Activités immobilières
Fonds de solidarité,VOLET1,5179,1756,7788113.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3500,1004,6030489.00,04,La Réunion,N,Activités de services administratifs et de soutien
