dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,833,152,1558240.00,03,Guyane,P,Enseignement
Fonds de solidarité,VOLET1,819,238,1502366.00,03,Guyane,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,854,134,1930942.00,03,Guyane,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,1525,279,2917097.00,03,Guyane,S,Autres activités de services
Fonds de solidarité,VOLET1,5389,2104,13814037.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,6,3,8323.00,32,Hauts-de-France,B,Industries extractives
Fonds de solidarité,VOLET1,12829,4127,21119940.00,32,Hauts-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET1,51,15,138452.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,703,237,1001954.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,32179,12907,49351034.00,32,Hauts-de-France,F,Construction
Fonds de solidarité,VOLET1,70213,20539,143196394.00,32,Hauts-de-France,G,Commerce
Fonds de solidarité,VOLET1,27173,5125,52730221.00,32,Hauts-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET1,78947,13149,372778725.00,32,Hauts-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET1,6860,1896,14056220.00,32,Hauts-de-France,J,Information et communication
Fonds de solidarité,VOLET1,3213,934,5594133.00,32,Hauts-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,8813,2657,17078408.00,32,Hauts-de-France,L,Activités immobilières
Fonds de solidarité,VOLET1,34381,9699,77130579.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,15360,4147,36928871.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,10,4,27692.00,32,Hauts-de-France,O,Administration publique
Fonds de solidarité,VOLET1,17075,4045,28242015.00,32,Hauts-de-France,P,Enseignement
Fonds de solidarité,VOLET1,25252,11339,34254532.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,29586,5104,75292350.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,49638,13870,81980473.00,32,Hauts-de-France,S,Autres activités de services
Fonds de solidarité,VOLET1,1745,667,3260035.00,11,Île-de-France,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,36631,10709,71644464.00,11,Île-de-France,C,Industrie manufacturière
Fonds de solidarité,VOLET1,709,151,1781711.00,11,Île-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1391,419,2518487.00,11,Île-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,87323,31673,147913170.00,11,Île-de-France,F,Construction
Fonds de solidarité,VOLET1,204700,56026,513162539.00,11,Île-de-France,G,Commerce
