dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,19.00,5051915.00,06,Mayotte,C,Industrie manufacturière
Prêts garantis par l'Etat,38.00,6320415.00,06,Mayotte,F,Construction
Prêts garantis par l'Etat,71.00,16117706.00,06,Mayotte,G,Commerce
Prêts garantis par l'Etat,12.00,1606000.00,06,Mayotte,H,Transports et entreposage
Prêts garantis par l'Etat,13.00,1571272.00,06,Mayotte,I,Hébergement et restauration
Prêts garantis par l'Etat,3.00,298654.00,06,Mayotte,J,Information et communication
Prêts garantis par l'Etat,21.00,1397712.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,18.00,3034234.00,06,Mayotte,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,11.00,997500.00,06,Mayotte,P,Enseignement
Prêts garantis par l'Etat,11.00,1245795.00,06,Mayotte,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,3.00,186000.00,06,Mayotte,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,6.00,430000.00,06,Mayotte,S,Autres activités de services
Prêts garantis par l'Etat,11.00,1122464.00,06,Mayotte,Z,Non connu
Prêts garantis par l'Etat,283.00,18435833.00,28,Normandie,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1000.00,356543646.00,28,Normandie,C,Industrie manufacturière
Prêts garantis par l'Etat,24.00,7589000.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,1837.00,222181682.00,28,Normandie,F,Construction
Prêts garantis par l'Etat,3740.00,613248759.00,28,Normandie,G,Commerce
Prêts garantis par l'Etat,320.00,116538236.00,28,Normandie,H,Transports et entreposage
Prêts garantis par l'Etat,2522.00,167746401.00,28,Normandie,I,Hébergement et restauration
Prêts garantis par l'Etat,162.00,21844412.00,28,Normandie,J,Information et communication
Prêts garantis par l'Etat,179.00,104297456.00,28,Normandie,K,Activités financières et d'assurance
Prêts garantis par l'Etat,283.00,22911964.00,28,Normandie,L,Activités immobilières
Prêts garantis par l'Etat,879.00,103456884.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,380.00,40815668.00,28,Normandie,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,255.00,14584877.00,28,Normandie,P,Enseignement
Prêts garantis par l'Etat,826.00,54112123.00,28,Normandie,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,276.00,26014196.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1224.00,27560038.00,28,Normandie,S,Autres activités de services
Prêts garantis par l'Etat,121.00,9844745.00,28,Normandie,Z,Non connu
Prêts garantis par l'Etat,2131.00,225200808.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,7.00,2471000.00,75,Nouvelle-Aquitaine,B,Industries extractives
Prêts garantis par l'Etat,3031.00,950035116.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,335000.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,60.00,16107787.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,5804.00,675135022.00,75,Nouvelle-Aquitaine,F,Construction
Prêts garantis par l'Etat,10350.00,1702070068.00,75,Nouvelle-Aquitaine,G,Commerce
Prêts garantis par l'Etat,850.00,148237998.00,75,Nouvelle-Aquitaine,H,Transports et entreposage
Prêts garantis par l'Etat,6454.00,522090960.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Prêts garantis par l'Etat,500.00,68695002.00,75,Nouvelle-Aquitaine,J,Information et communication
Prêts garantis par l'Etat,664.00,254871575.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Prêts garantis par l'Etat,985.00,72344078.00,75,Nouvelle-Aquitaine,L,Activités immobilières
Prêts garantis par l'Etat,2728.00,487887829.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1221.00,139892271.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
