dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,38.00,1531227.00,03,Guyane,P,Enseignement
Prêts garantis par l'Etat,186.00,13607070.00,03,Guyane,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,38.00,5033013.00,03,Guyane,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,116.00,5628693.00,03,Guyane,S,Autres activités de services
Prêts garantis par l'Etat,13.00,2988921.00,03,Guyane,Z,Non connu
Prêts garantis par l'Etat,474.00,37991350.00,32,Hauts-de-France,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,2125.00,816832887.00,32,Hauts-de-France,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,966877.00,32,Hauts-de-France,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,62.00,27514950.00,32,Hauts-de-France,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,4237.00,738342102.00,32,Hauts-de-France,F,Construction
Prêts garantis par l'Etat,7019.00,2238068101.00,32,Hauts-de-France,G,Commerce
Prêts garantis par l'Etat,907.00,239178864.00,32,Hauts-de-France,H,Transports et entreposage
Prêts garantis par l'Etat,4536.00,325593886.00,32,Hauts-de-France,I,Hébergement et restauration
Prêts garantis par l'Etat,507.00,104910654.00,32,Hauts-de-France,J,Information et communication
Prêts garantis par l'Etat,436.00,443294543.00,32,Hauts-de-France,K,Activités financières et d'assurance
Prêts garantis par l'Etat,589.00,59107330.00,32,Hauts-de-France,L,Activités immobilières
Prêts garantis par l'Etat,2352.00,338867909.00,32,Hauts-de-France,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,898.00,141359045.00,32,Hauts-de-France,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,617.00,44503428.00,32,Hauts-de-France,P,Enseignement
Prêts garantis par l'Etat,2458.00,166164735.00,32,Hauts-de-France,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,575.00,57638597.00,32,Hauts-de-France,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2095.00,64390453.00,32,Hauts-de-France,S,Autres activités de services
Prêts garantis par l'Etat,159.00,17479845.00,32,Hauts-de-France,Z,Non connu
Prêts garantis par l'Etat,118.00,13719902.00,04,La Réunion,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4.00,2350000.00,04,La Réunion,B,Industries extractives
Prêts garantis par l'Etat,480.00,75849063.00,04,La Réunion,C,Industrie manufacturière
Prêts garantis par l'Etat,5.00,793343.00,04,La Réunion,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,21.00,4317000.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,749.00,94257521.00,04,La Réunion,F,Construction
Prêts garantis par l'Etat,1443.00,324733572.00,04,La Réunion,G,Commerce
Prêts garantis par l'Etat,192.00,93431244.00,04,La Réunion,H,Transports et entreposage
Prêts garantis par l'Etat,515.00,44112192.00,04,La Réunion,I,Hébergement et restauration
Prêts garantis par l'Etat,68.00,10662926.00,04,La Réunion,J,Information et communication
Prêts garantis par l'Etat,72.00,34116230.00,04,La Réunion,K,Activités financières et d'assurance
Prêts garantis par l'Etat,69.00,5051173.00,04,La Réunion,L,Activités immobilières
Prêts garantis par l'Etat,352.00,95745476.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,205.00,30197244.00,04,La Réunion,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,105.00,8516852.00,04,La Réunion,P,Enseignement
Prêts garantis par l'Etat,384.00,28162755.00,04,La Réunion,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,88.00,7255107.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,294.00,10053271.00,04,La Réunion,S,Autres activités de services
Prêts garantis par l'Etat,4.00,287500.00,04,La Réunion,Z,Non connu
Prêts garantis par l'Etat,18.00,1176800.00,02,Martinique,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,59.00,12360461.00,02,Martinique,C,Industrie manufacturière
Prêts garantis par l'Etat,69.00,11102670.00,02,Martinique,F,Construction
Prêts garantis par l'Etat,156.00,43371731.00,02,Martinique,G,Commerce
Prêts garantis par l'Etat,25.00,20912600.00,02,Martinique,H,Transports et entreposage
Prêts garantis par l'Etat,52.00,5121500.00,02,Martinique,I,Hébergement et restauration
Prêts garantis par l'Etat,11.00,2001700.00,02,Martinique,J,Information et communication
Prêts garantis par l'Etat,9.00,1922000.00,02,Martinique,K,Activités financières et d'assurance
Prêts garantis par l'Etat,9.00,2641349.00,02,Martinique,L,Activités immobilières
Prêts garantis par l'Etat,61.00,6074100.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,47.00,6221053.00,02,Martinique,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,17.00,1510200.00,02,Martinique,P,Enseignement
Prêts garantis par l'Etat,49.00,3987549.00,02,Martinique,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,10.00,962000.00,02,Martinique,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,29.00,1325300.00,02,Martinique,S,Autres activités de services
Prêts garantis par l'Etat,4.00,874000.00,02,Martinique,Z,Non connu
Prêts garantis par l'Etat,5.00,599000.00,06,Mayotte,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,31.00,8152285.00,06,Mayotte,C,Industrie manufacturière
Prêts garantis par l'Etat,3.00,741714.00,06,Mayotte,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,55.00,8260403.00,06,Mayotte,F,Construction
Prêts garantis par l'Etat,109.00,29384360.00,06,Mayotte,G,Commerce
Prêts garantis par l'Etat,24.00,2729024.00,06,Mayotte,H,Transports et entreposage
Prêts garantis par l'Etat,16.00,1861272.00,06,Mayotte,I,Hébergement et restauration
Prêts garantis par l'Etat,5.00,588654.00,06,Mayotte,J,Information et communication
Prêts garantis par l'Etat,32.00,2326712.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,26.00,3542034.00,06,Mayotte,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,15.00,1002000.00,06,Mayotte,P,Enseignement
Prêts garantis par l'Etat,14.00,1142424.00,06,Mayotte,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,7.00,330400.00,06,Mayotte,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,11.00,638444.00,06,Mayotte,S,Autres activités de services
Prêts garantis par l'Etat,12.00,2212750.00,06,Mayotte,Z,Non connu
Prêts garantis par l'Etat,484.00,31696537.00,28,Normandie,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,1360.00,462750022.00,28,Normandie,C,Industrie manufacturière
Prêts garantis par l'Etat,12.00,1481000.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2389.00,295711102.00,28,Normandie,F,Construction
Prêts garantis par l'Etat,4607.00,767914789.00,28,Normandie,G,Commerce
Prêts garantis par l'Etat,433.00,160478236.00,28,Normandie,H,Transports et entreposage
Prêts garantis par l'Etat,3171.00,205735162.00,28,Normandie,I,Hébergement et restauration
Prêts garantis par l'Etat,220.00,26080922.00,28,Normandie,J,Information et communication
Prêts garantis par l'Etat,271.00,210823798.00,28,Normandie,K,Activités financières et d'assurance
Prêts garantis par l'Etat,368.00,28929264.00,28,Normandie,L,Activités immobilières
Prêts garantis par l'Etat,1155.00,145132032.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,512.00,56310941.00,28,Normandie,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,358.00,29055163.00,28,Normandie,P,Enseignement
Prêts garantis par l'Etat,1054.00,72721251.00,28,Normandie,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,382.00,37349818.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1391.00,31038202.00,28,Normandie,S,Autres activités de services
Prêts garantis par l'Etat,144.00,18016045.00,28,Normandie,Z,Non connu
Prêts garantis par l'Etat,3117.00,300113109.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,7.00,2471000.00,75,Nouvelle-Aquitaine,B,Industries extractives
Prêts garantis par l'Etat,3820.00,1199736585.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Prêts garantis par l'Etat,11.00,1911000.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,85.00,31508345.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,7244.00,809001512.00,75,Nouvelle-Aquitaine,F,Construction
Prêts garantis par l'Etat,12415.00,2111824840.00,75,Nouvelle-Aquitaine,G,Commerce
Prêts garantis par l'Etat,1107.00,197628522.00,75,Nouvelle-Aquitaine,H,Transports et entreposage
Prêts garantis par l'Etat,7764.00,612776936.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Prêts garantis par l'Etat,670.00,103556752.00,75,Nouvelle-Aquitaine,J,Information et communication
Prêts garantis par l'Etat,868.00,543955065.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1276.00,96935321.00,75,Nouvelle-Aquitaine,L,Activités immobilières
Prêts garantis par l'Etat,3484.00,648478098.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1568.00,187277584.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,881.00,60278174.00,75,Nouvelle-Aquitaine,P,Enseignement
Prêts garantis par l'Etat,3614.00,199408379.00,75,Nouvelle-Aquitaine,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,943.00,73698310.00,75,Nouvelle-Aquitaine,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3409.00,92614601.00,75,Nouvelle-Aquitaine,S,Autres activités de services
Prêts garantis par l'Etat,258.00,60771951.00,75,Nouvelle-Aquitaine,Z,Non connu
Prêts garantis par l'Etat,1869.00,128580954.00,76,Occitanie,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,24.00,3358082.00,76,Occitanie,B,Industries extractives
Prêts garantis par l'Etat,3351.00,1078948662.00,76,Occitanie,C,Industrie manufacturière
Prêts garantis par l'Etat,14.00,4735300.00,76,Occitanie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,81.00,26082529.00,76,Occitanie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,6904.00,792134555.00,76,Occitanie,F,Construction
Prêts garantis par l'Etat,12444.00,2030281400.00,76,Occitanie,G,Commerce
Prêts garantis par l'Etat,1104.00,158980271.00,76,Occitanie,H,Transports et entreposage
Prêts garantis par l'Etat,8053.00,587926927.00,76,Occitanie,I,Hébergement et restauration
Prêts garantis par l'Etat,817.00,187027228.00,76,Occitanie,J,Information et communication
Prêts garantis par l'Etat,785.00,566207366.00,76,Occitanie,K,Activités financières et d'assurance
Prêts garantis par l'Etat,1236.00,112402971.00,76,Occitanie,L,Activités immobilières
Prêts garantis par l'Etat,3996.00,747375350.00,76,Occitanie,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1542.00,218960025.00,76,Occitanie,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,894.00,47125564.00,76,Occitanie,P,Enseignement
Prêts garantis par l'Etat,3736.00,231907741.00,76,Occitanie,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,936.00,87327314.00,76,Occitanie,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3105.00,89787435.00,76,Occitanie,S,Autres activités de services
Prêts garantis par l'Etat,348.00,32869799.00,76,Occitanie,Z,Non connu
Prêts garantis par l'Etat,686.00,66196160.00,52,Pays de la Loire,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,9286000.00,52,Pays de la Loire,B,Industries extractives
Prêts garantis par l'Etat,1824.00,756278618.00,52,Pays de la Loire,C,Industrie manufacturière
Prêts garantis par l'Etat,42.00,8445800.00,52,Pays de la Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2887.00,361116611.00,52,Pays de la Loire,F,Construction
Prêts garantis par l'Etat,5078.00,846629300.00,52,Pays de la Loire,G,Commerce
Prêts garantis par l'Etat,348.00,61869737.00,52,Pays de la Loire,H,Transports et entreposage
Prêts garantis par l'Etat,3368.00,228435915.00,52,Pays de la Loire,I,Hébergement et restauration
Prêts garantis par l'Etat,377.00,87801392.00,52,Pays de la Loire,J,Information et communication
Prêts garantis par l'Etat,364.00,451021040.00,52,Pays de la Loire,K,Activités financières et d'assurance
Prêts garantis par l'Etat,405.00,32806800.00,52,Pays de la Loire,L,Activités immobilières
Prêts garantis par l'Etat,1644.00,624219141.00,52,Pays de la Loire,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,657.00,85663657.00,52,Pays de la Loire,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,425.00,28845020.00,52,Pays de la Loire,P,Enseignement
Prêts garantis par l'Etat,1553.00,98058459.00,52,Pays de la Loire,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,489.00,66433529.00,52,Pays de la Loire,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1551.00,44743315.00,52,Pays de la Loire,S,Autres activités de services
Prêts garantis par l'Etat,147.00,9255346.00,52,Pays de la Loire,Z,Non connu
Prêts garantis par l'Etat,1051.00,95107827.00,93,Provence-Alpes-Côte d'Azur,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,3.00,520000.00,93,Provence-Alpes-Côte d'Azur,B,Industries extractives
