dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,1964.00,243513088.00,11,Île-de-France,G,Commerce,2020-09-03
Reports d'échéances fiscales,337.00,46333247.00,11,Île-de-France,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,1133.00,29073835.00,11,Île-de-France,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,723.00,162436416.00,11,Île-de-France,J,Information et communication,2020-09-03
Reports d'échéances fiscales,599.00,66198090.00,11,Île-de-France,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,784.00,60388821.00,11,Île-de-France,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,1967.00,118188138.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,573.00,43973315.00,11,Île-de-France,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,192.00,13053965.00,11,Île-de-France,P,Enseignement,2020-09-03
Reports d'échéances fiscales,532.00,14817512.00,11,Île-de-France,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,186.00,8092913.00,11,Île-de-France,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,303.00,6312201.00,11,Île-de-France,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,101.00,7189771.00,11,Île-de-France,Z,Non connu,2020-09-03
Reports d'échéances fiscales,67.00,2866755.00,04,La Réunion,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,56.00,1213218.00,04,La Réunion,F,Construction,2020-09-03
Reports d'échéances fiscales,208.00,7455898.00,04,La Réunion,G,Commerce,2020-09-03
Reports d'échéances fiscales,26.00,394736.00,04,La Réunion,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,48.00,677068.00,04,La Réunion,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,23.00,162962.00,04,La Réunion,J,Information et communication,2020-09-03
Reports d'échéances fiscales,31.00,2272199.00,04,La Réunion,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,69.00,1236619.00,04,La Réunion,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,57.00,1786626.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,30.00,405174.00,04,La Réunion,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,16.00,93797.00,04,La Réunion,P,Enseignement,2020-09-03
Reports d'échéances fiscales,27.00,1123089.00,04,La Réunion,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,6.00,1748568.00,04,La Réunion,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,11.00,24127.00,04,La Réunion,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,3.00,532509.00,04,La Réunion,Z,Non connu,2020-09-03
Reports d'échéances fiscales,11.00,543053.00,02,Martinique,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,13.00,207255.00,02,Martinique,F,Construction,2020-09-03
Reports d'échéances fiscales,51.00,3251122.00,02,Martinique,G,Commerce,2020-09-03
Reports d'échéances fiscales,9.00,2018537.00,02,Martinique,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,9.00,51882.00,02,Martinique,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,9.00,528072.00,02,Martinique,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,16.00,481944.00,02,Martinique,L,Activités immobilières,2020-09-03
